individual,individual,species,date_eaten,date_excreted,recovered
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,5/12/16,1
E,284061,opuntia,3/1/16,5/15/16,1
E,284061,opuntia,3/1/16,5/16/16,1
E,284061,opuntia,3/1/16,5/19/16,1
E,284061,opuntia,3/1/16,5/17/16,1
E,284061,opuntia,3/1/16,5/23/16,1
E,284061,opuntia,3/1/16,5/23/16,1
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
E,284061,opuntia,3/1/16,,0
F,48081068,opuntia,6/30/15,7/28/15,1
F,48081068,opuntia,6/30/15,7/26/15,1
F,48081068,opuntia,6/30/15,7/24/15,1
F,48081068,opuntia,6/30/15,7/26/15,1
F,48081068,opuntia,6/30/15,7/26/15,1
F,48081068,opuntia,6/30/15,7/13/15,1
F,48081068,opuntia,6/30/15,8/2/15,1
F,48081068,opuntia,6/30/15,8/2/15,1
F,48081068,opuntia,6/30/15,8/1/15,1
F,48081068,opuntia,6/30/15,7/30/15,1
F,48081068,opuntia,6/30/15,7/19/15,1
F,48081068,opuntia,6/30/15,7/30/15,1
F,48081068,opuntia,6/30/15,7/30/15,1
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,7/19/15,1
F,48081068,opuntia,6/30/15,7/19/15,1
F,48081068,opuntia,6/30/15,7/17/15,1
F,48081068,opuntia,6/30/15,7/30/15,1
F,48081068,opuntia,6/30/15,8/6/15,1
F,48081068,opuntia,6/30/15,8/7/15,1
F,48081068,opuntia,6/30/15,8/6/15,1
F,48081068,opuntia,6/30/15,7/30/15,1
F,48081068,opuntia,6/30/15,7/30/15,1
F,48081068,opuntia,6/30/15,7/30/15,1
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
F,48081068,opuntia,6/30/15,,0
A,48081068,physalis,6/30/15,7/17/15,1
A,48081068,physalis,6/30/15,7/17/15,1
A,48081068,physalis,6/30/15,7/22/15,1
A,48081068,physalis,6/30/15,7/22/15,1
A,48081068,physalis,6/30/15,7/22/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
